"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ","",""
"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ","9179","26550.00","365.80395480226","0","0.00%","",""
"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ","9167","59704.00","400.42248425566","1.0793246683639","0.27%","",""
"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ","9194","71294.00","408.92093303784","0","0.00%","",""
"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ","9180","62529.00","388.28455596603","0","0.00%","",""
"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ","9207","1142.00","503.82661996497","0","0.00%","",""
"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ","9186","664046.00","439.2548257199","1.696599331974","0.39%","",""
"ΔΗΜΟΣ ΑΙΓΑΛΕΩ","9181","69946.00","438.66918765905","2.9156778085952","0.66%","",""
"ΔΗΜΟΣ ΑΙΓΙΝΑΣ","9208","13056.00","566.6965379902","0","0.00%","",""
"ΔΗΜΟΣ ΑΛΙΜΟΥ","9195","41720.00","500.70512943432","0.95661553211889","0.19%","",""
"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ","9168","72333.00","556.01229037922","0","0.00%","",""
"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ","9228","30251.00","855.22703381706","0","0.00%","",""
"ΔΗΜΟΣ ΑΧΑΡΝΩΝ","9215","106943.00","459.72557343632","6.2550143534406","1.36%","",""
"ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ","9216","48399.00","703.58381371516","0","0.00%","",""
"ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ","9169","30741.00","437.27920366937","2.0197781464494","0.46%","",""
"ΔΗΜΟΣ ΒΥΡΩΝΑ","9187","61308.00","338.37724277419","0.60628302994715","0.18%","",""
"ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ","9188","59345.00","312.21226725082","0","0.00%","",""
"ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ","9196","87305.00","561.25602199187","0","0.00%","",""
"ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ","9189","33628.00","368.81836564767","0","0.00%","",""
"ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ","9217","40193.00","492.61866494166","1.0382404896375","0.21%","",""
"ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ","9229","29902.00","450.08899070296","9.4475285934051","2.10%","",""
"ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ","9197","51356.00","423.06168704728","0","0.00%","",""
"ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ","9190","71026.00","337.24530453637","0.036183932644384","0.01%","",""
"ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΗΣ","9191","78153.00","356.59255562806","0","0.00%","",""
"ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ","9170","49642.00","396.0341847629","1.3760525361589","0.35%","",""
"ΔΗΜΟΣ ΙΛΙΟΥ","9182","84793.00","386.29727689786","0.56679207010013","0.15%","",""
"ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ","9192","26458.00","384.90350744576","0","0.00%","",""
"ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ","9198","100641.00","403.42474736936","0","0.00%","",""
"ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ","9202","91045.00","378.87101982536","0.33016640123016","0.09%","",""
"ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ","9171","71259.00","732.00349429546","1.0974052400399","0.15%","",""
"ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ","9203","63445.00","356.96719993695","0","0.00%","",""
"ΔΗΜΟΣ ΚΡΩΠΙΑΣ","9218","30307.00","621.30567195697","0","0.00%","",""
"ΔΗΜΟΣ ΚΥΘΗΡΩΝ","9209","4041.00","24.746349913388","0","0.00%","",""
"ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ","9219","25102.00","569.02103418054","0","0.00%","",""
"ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ","9172","31153.00","455.66937373608","5.0158893204507","1.10%","",""
"ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ","9230","17885.00","503.07095331283","0","0.00%","",""
"ΔΗΜΟΣ ΜΑΡΑΘΩΝΑ","9220","33423.00","673.38407683332","0","0.00%","",""
"ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ","9221","20040.00","705.32589820359","0","0.00%","",""
"ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ","9231","36924.00","390.53092839346","0","0.00%","",""
"ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΗΣ","9173","29891.00","503.57187782276","1.7192465959653","0.34%","",""
"ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ","9199","40413.00","532.44374334991","2.692697894242","0.51%","",""
"ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ","9174","67134.00","395.64143355081","0.014895581970388","0.00%","",""
"ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ","9200","73076.00","361.4278696152","0","0.00%","",""
"ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ","9204","105430.00","411.45845584748","0.015365645451959","0.00%","",""
"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ","9222","26668.00","420.42485375731","0.16386680665967","0.04%","",""
"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ","9201","64021.00","456.10976085972","0","0.00%","",""
"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ","9223","54415.00","474.09460626665","0","0.00%","",""
"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ","9175","44539.00","433.36671231954","1.9510990367992","0.45%","",""
"ΔΗΜΟΣ ΠΕΙΡΑΙΑ","9205","163688.00","454.63167733737","0.57133082449538","0.13%","",""
"ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ","9176","34934.00","462.42336978302","0","0.00%","",""
"ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ","9206","25389.00","380.94056481153","0","0.00%","",""
"ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ","9183","139981.00","433.34363949393","0","0.00%","",""
"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΗΣ","9184","58979.00","339.09508469116","0.15920921005782","0.05%","",""
"ΔΗΜΟΣ ΠΟΡΟΥ","9210","3993.00","671.52516904583","0","0.00%","",""
"ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ","9224","20266.00","580.40752985296","0.39080232902398","0.07%","",""
"ΔΗΜΟΣ ΣΑΛΑΜΙΝΑΣ","9211","39283.00","603.64615737087","0","0.00%","",""
"ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ","9225","29002.00","523.9655885801","0","0.00%","",""
"ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ","9226","33821.00","633.94314183495","0","0.00%","",""
"ΔΗΜΟΣ ΣΠΕΤΣΩΝ","9212","4027.00","424.28110255774","0","0.00%","",""
"ΔΗΜΟΣ ΤΡΟΙΖΗΝΙΑΣ","9213","7143.00","364.79070418592","0","0.00%","",""
"ΔΗΜΟΣ ΥΔΡΑΣ","9214","1966.00","0","0","","",""
"ΔΗΜΟΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΑΣ","9193","35556.00","437.8727359658","0.60102373720328","0.14%","",""
"ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ","9177","26968.00","579.73153366953","4.233906852566","0.73%","",""
"ΔΗΜΟΣ ΦΥΛΗΣ","9232","45965.00","637.39449581203","0.40269770477537","0.06%","",""
"ΔΗΜΟΣ ΧΑΪΔΑΡΙΟΥ","9185","46897.00","408.68993752266","0.042859884427575","0.01%","",""
"ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ","9178","74192.00","477.53446463231","7.5617317230968","1.58%","",""
"ΔΗΜΟΣ ΩΡΩΠΟΥ","9227","33769.00","618.76203026444","0","0.00%","",""
