"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ"
"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ","9179","26550","437.26064030132","23.773258003766","5.44%"
"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ","9167","59704","447.84319308589","47.087967305373","10.51%"
"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ","9194","71294","423.99402474262","31.508542093304","7.43%"
"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ","9180","62529","396.41526331782","28.722512754082","7.25%"
"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ","9207","1142","576.05954465849","0","0.00%"
"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ","9186","664046","466.12182439168","12.511961520738","2.68%"
"ΔΗΜΟΣ ΑΙΓΑΛΕΩ","9181","69946","448.6216509879","35.886255111086","8.00%"
"ΔΗΜΟΣ ΑΙΓΙΝΑΣ","9208","13056","649.00007659314","22.204350490196","3.42%"
"ΔΗΜΟΣ ΑΛΙΜΟΥ","9195","41720","562.1018696069","71.953020134228","12.80%"
"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ","9168","72333","583.44971174982","48.406232286785","8.30%"
"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ","9228","30251","801.87464877194","14.684473240554","1.83%"
"ΔΗΜΟΣ ΑΧΑΡΝΩΝ","9215","106943","530.241820409","16.325519201818","3.08%"
"ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ","9216","48399","703.79429327052","38.199549577471","5.43%"
"ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ","9169","30741","467.78992225367","130.50291142123","27.90%"
"ΔΗΜΟΣ ΒΥΡΩΝΑ","9187","61308","352.22515821752","20.644287858028","5.86%"
"ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ","9188","59345","349.10438958632","28.479231611762","8.16%"
"ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ","9196","87305","565.09433594869","89.815589026974","15.89%"
"ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ","9189","33628","408.18529201856","18.680563815868","4.58%"
"ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ","9217","40193","610.64986440425","28.111611474635","4.60%"
"ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ","9229","29902","539.57260383921","62.660022740954","11.61%"
"ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ","9197","51356","480.15811200249","42.366617337799","8.82%"
"ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ","9190","71026","360.55641596035","22.67043054656","6.29%"
"ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΗΣ","9191","78153","411.27890164165","21.447673153942","5.21%"
"ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ","9170","49642","440.89319527819","70.053180774344","15.89%"
"ΔΗΜΟΣ ΙΛΙΟΥ","9182","84793","412.12918519217","35.700116754921","8.66%"
"ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ","9192","26458","391.58439791367","22.812759845793","5.83%"
"ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ","9198","100641","421.89202213809","26.88884251945","6.37%"
"ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ","9202","91045","413.74111703004","24.73040803998","5.98%"
"ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ","9171","71259","776.26096352741","37.61503810045","4.85%"
"ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ","9203","63445","406.71195523682","20.447158956577","5.03%"
"ΔΗΜΟΣ ΚΡΩΠΙΑΣ","9218","30307","721.71250866137","38.748143993137","5.37%"
"ΔΗΜΟΣ ΚΥΘΗΡΩΝ","9209","4041","52.430091561495","25.874783469438","49.35%"
"ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ","9219","25102","573.20301171221","32.879929886065","5.74%"
"ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ","9172","31153","459.85683561776","56.962732321125","12.39%"
"ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ","9230","17885","665.20044730221","7.5090858261113","1.13%"
"ΔΗΜΟΣ ΜΑΡΑΘΩΝΑ","9220","33423","607.77488555785","13.588247613919","2.24%"
"ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ","9221","20040","920.30788423154","43.953592814371","4.78%"
"ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ","9231","36924","448.14673383165","18.781280467988","4.19%"
"ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΗΣ","9173","29891","545.61439898297","51.139138871232","9.37%"
"ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ","9199","40413","605.84477767055","45.228020686413","7.47%"
"ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ","9174","67134","451.85315935294","25.245181279233","5.59%"
"ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ","9200","73076","416.22434178116","11.934287591001","2.87%"
"ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ","9204","105430","469.27373612824","18.336716304657","3.91%"
"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ","9222","26668","506.10694465277","38.666566671666","7.64%"
"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ","9201","64021","505.27186391965","48.298214648319","9.56%"
"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ","9223","54415","560.18267021961","69.230175503078","12.36%"
"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ","9175","44539","470.19578347067","72.063360201172","15.33%"
"ΔΗΜΟΣ ΠΕΙΡΑΙΑ","9205","163688","462.39464713357","23.888311910464","5.17%"
"ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ","9176","34934","476.7840212973","40.265157153489","8.45%"
"ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ","9206","25389","419.65949820789","1.864980897239","0.44%"
"ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ","9183","139981","483.82437616534","35.648552303527","7.37%"
"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΗΣ","9184","58979","363.29218874515","31.747910273148","8.74%"
"ΔΗΜΟΣ ΠΟΡΟΥ","9210","3993","577.52817430503","39.944903581267","6.92%"
