"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ","",""
"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ","9179","26550","369.4006779661","0","0.00%","",""
"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ","9167","59704","398.5313714324","0.95303497253115","0.24%","",""
"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ","9194","71294","406.83378685443","0","0.00%","",""
"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ","9180","62529","382.53356042796","2.0288186281565","0.53%","",""
"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ","9207","1142","554.6584938704","0","0.00%","",""
"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ","9186","664046","445.84199588583","2.0801420383528","0.47%","",""
"ΔΗΜΟΣ ΑΙΓΑΛΕΩ","9181","69946","474.63314556944","2.2104194664455","0.47%","",""
"ΔΗΜΟΣ ΑΙΓΙΝΑΣ","9208","13056","609.92417279412","0","0.00%","",""
"ΔΗΜΟΣ ΑΛΙΜΟΥ","9195","41720","518.08300575264","8.5747842761266","1.66%","",""
"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ","9168","72333","659.42967939944","3.5018594555735","0.53%","",""
"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ","9228","30251","944.28127995769","0","0.00%","",""
