"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ",""
"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ","9179","26550","365.40715630885","1.5679849340866","0.43%",""
"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ","9167","59704","392.01443789361","2.8006498727053","0.71%",""
"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ","9194","71294","370.26692288271","2.3044014924117","0.62%",""
"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ","9180","62529","371.4877896656","5.3485582689632","1.44%",""
"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ","9207","1142","533.91418563923","0","0.00%",""
"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ","9186","664046","443.47841264009","2.7124626908377","0.61%",""
"ΔΗΜΟΣ ΑΙΓΑΛΕΩ","9181","69946","432.74963543305","6.2089326051525","1.43%",""
"ΔΗΜΟΣ ΑΙΓΙΝΑΣ","9208","13056","610.14774816176","0","0.00%",""
"ΔΗΜΟΣ ΑΛΙΜΟΥ","9195","41720","510.22890699904","13.621284755513","2.67%",""
"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ","9168","72333","597.56017308836","8.7276899893548","1.46%",""
"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ","9228","30251","959.90747413309","1.6029222174474","0.17%",""
"ΔΗΜΟΣ ΑΧΑΡΝΩΝ","9215","106943","499.93456327202","4.8708190344389","0.97%",""
"ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ","9216","48399","707.66957995","21.480402487655","3.04%",""
"ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ","9169","30741","445.98581698709","92.547086952279","20.75%",""
"ΔΗΜΟΣ ΒΥΡΩΝΑ","9187","61308","342.05193449468","10.979969987604","3.21%",""
"ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ","9188","59345","314.96267587834","0","0.00%",""
"ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ","9196","87305","573.11525113109","10.78563656148","1.88%",""
"ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ","9189","33628","370.30807660283","4.0980730343761","1.11%",""
"ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ","9217","40193","477.67300276167","15.146916129674","3.17%",""
"ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ","9229","29902","451.05243796402","8.9174637148017","1.98%",""
"ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ","9197","51356","434.2146584625","2.341109120648","0.54%",""
"ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ","9190","71026","337.35308196998","2.7191451017937","0.81%",""
"ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΗΣ","9191","78153","345.16921935178","0.92446867042852","0.27%",""
