"ΔΗΜΟΣ","ΚΩΔΙΚΟΣ ΔΗΜΟΥ - ΥΠΕΣΑΗΔ","ΜΟΝΙΜΟΣ ΠΛΗΘΥΣΜΟΣ ΒΑΣΕΙ ΑΠΟΓΡΑΦΗΣ 2011","ΑΠΟΒΛΗΤΑ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΑΝΑΚΥΚΛΩΣΗ ΑΝΑ ΚΑΤΟΙΚΟ (KG)","ΠΟΣΟΣΤΟ ΑΝΑΚΥΚΛΩΣΗΣ"
"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ","9179","26550","382.8204519774","3.9306967984934","1.03%"
"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ","9167","59704","404.93735763098","12.344399035241","3.05%"
"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ","9194","71294","375.55111229556","9.2609476253261","2.47%"
"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ","9180","62529","368.3589534456","16.786451086696","4.56%"
"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ","9207","1142","585.28896672504","0","0.00%"
"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ","9186","664046","462.21758432398","2.5739105423419","0.56%"
"ΔΗΜΟΣ ΑΙΓΑΛΕΩ","9181","69946","427.48177165242","10.919280587882","2.55%"
"ΔΗΜΟΣ ΑΙΓΙΝΑΣ","9208","13056","644.42172181373","0","0.00%"
"ΔΗΜΟΣ ΑΛΙΜΟΥ","9195","41720","504.69283317354","23.144534995206","4.59%"
"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ","9168","72333","524.54702556233","25.475647353214","4.86%"
"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ","9228","30251","551.32944365476","7.5002479256884","1.36%"
"ΔΗΜΟΣ ΑΧΑΡΝΩΝ","9215","106943","420.18954022236","10.252844973491","2.44%"
"ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ","9216","48399","728.5886485258","94.032727948925","12.91%"
"ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ","9169","30741","450.93523307635","128.33186949026","28.46%"
"ΔΗΜΟΣ ΒΥΡΩΝΑ","9187","61308","333.33268088993","17.823122594115","5.35%"
"ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ","9188","59345","311.89990732159","0.0015165557334232","0.00%"
"ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ","9196","87305","536.6304335376","43.483649275528","8.10%"
"ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ","9189","33628","379.9043951469","8.0325918877126","2.11%"
"ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ","9217","40193","579.92710173413","117.97477172642","20.34%"
"ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ","9229","29902","480.74041870109","17.696140726373","3.68%"
"ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ","9197","51356","448.79441545292","21.764740244567","4.85%"
"ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ","9190","71026","336.99405851378","3.886041731197","1.15%"
"ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΗΣ","9191","78153","349.9146545878","5.8705359998976","1.68%"
"ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ","9170","49642","414.49417831675","57.271060795294","13.82%"
"ΔΗΜΟΣ ΙΛΙΟΥ","9182","84793","368.18286886889","11.403063932164","3.10%"
"ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ","9192","26458","379.1613122685","5.8008919797415","1.53%"
"ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ","9198","100641","393.84559970589","6.2538130582963","1.59%"
"ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ","9202","91045","374.3771212038","4.6003624581251","1.23%"
"ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ","9171","71259","730.48639470102","40.103706198515","5.49%"
"ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ","9203","63445","346.99582315391","2.9371896918591","0.85%"
"ΔΗΜΟΣ ΚΡΩΠΙΑΣ","9218","30307","612.80397267958","58.862638994292","9.61%"
"ΔΗΜΟΣ ΚΥΘΗΡΩΝ","9209","4041","73.088344469191","0","0.00%"
"ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ","9219","25102","494.18245558123","13.874990040634","2.81%"
"ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ","9172","31153","405.57410201265","22.26495040606","5.49%"
"ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ","9230","17885","542.18674867207","0.19793122728543","0.04%"
"ΔΗΜΟΣ ΜΑΡΑΘΩΝΑ","9220","33423","602.6342638303","33.974508571941","5.64%"
"ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ","9221","20040","624.35978043912","22.15369261477","3.55%"
"ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ","9231","36924","417.36377423898","0.86718665366699","0.21%"
"ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΗΣ","9173","29891","488.60292395704","14.233715834198","2.91%"
"ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ","9199","40413","523.67198673694","10.70818795932","2.04%"
"ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ","9174","67134","394.09369321059","8.7644114755564","2.22%"
"ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ","9200","73076","379.86520882369","4.8672614811977","1.28%"
"ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ","9204","105430","420.10798634165","3.3668784975813","0.80%"
"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ","9222","26668","450.43197840108","10.241112944353","2.27%"
"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ","9201","64021","461.89929866762","16.86040517955","3.65%"
"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ","9223","54415","487.51013507305","35.994854360011","7.38%"
"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ","9175","44539","417.03563169357","35.029973730888","8.40%"
"ΔΗΜΟΣ ΠΕΙΡΑΙΑ","9205","163688","441.2701847417","4.7394433312155","1.07%"
"ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ","9176","34934","466.58842388504","40.307150626896","8.64%"
"ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ","9206","25389","399.39678600969","8.1964630351727","2.05%"
"ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ","9183","139981","437.49358841557","9.8711968052807","2.26%"
"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΗΣ","9184","58979","330.15507214432","8.9201241119721","2.70%"
"ΔΗΜΟΣ ΠΟΡΟΥ","9210","3993","640.79639368896","0","0.00%"
"ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ","9224","20266","627.44004736998","68.152077370966","10.86%"
"ΔΗΜΟΣ ΣΑΛΑΜΙΝΑΣ","9211","39283","514.44072499555","8.3481404169743","1.62%"
"ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ","9225","29002","618.36497482932","28.427349837942","4.60%"
